zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D6,1,1,10,H2945,5.8,242.6086956521739
S1,D6,1,2,20,H2207,5.5,250.43478260869563
S1,D6,1,3,30,H2729,5.5,250.43478260869563
S1,D6,1,4,40,H2435,5.05,262.17391304347825
S1,D6,1,5,50,H3263,5.35,254.3478260869565
S1,D6,1,6,60,H2507,2.2,336.52173913043475
S1,D6,1,8,80,H3455,3.25,309.1304347826087
S1,D6,1,10,100,H2435,5.05,262.17391304347825
S1,D6,2,1,130,H2639,5.8,242.6086956521739
S1,D6,2,2,140,H3017,5.5,250.43478260869563
S1,D6,2,3,150,H2627,6.55,223.04347826086956
S1,D6,2,4,160,H2537,7.75,191.7391304347826
S1,D6,2,5,170,H2933,6.55,223.04347826086956
S1,D6,2,6,180,H3233,7.75,191.7391304347826
S1,D6,2,7,190,H3233,7.75,191.7391304347826
S1,D6,2,8,200,H2933,6.55,223.04347826086956
S1,D6,2,9,210,H3167,5.8,242.6086956521739
S1,D6,2,11,230,H3017,5.5,250.43478260869563
S1,D6,3,1,250,H3035,5.05,262.17391304347825
S1,D6,3,3,270,H2813,6.25,230.86956521739128
S1,D6,3,5,290,H2435,5.05,262.17391304347825
S1,D6,3,6,300,H2915,5.35,254.3478260869565
S1,D6,3,7,310,H2525,5.05,262.17391304347825
S1,D6,3,8,320,H3425,5.05,262.17391304347825
S1,D6,3,9,330,H2747,4.6,273.9130434782609
S1,D6,3,10,340,H3059,4.6,273.9130434782609
S1,D6,4,6,420,H3245,4.6,273.9130434782609
S1,D6,5,6,540,H2729,5.5,250.43478260869563
S1,D6,5,8,560,H2531,5.05,262.17391304347825
S1,D6,6,3,630,H2201,2.65,324.78260869565213
S1,D6,6,6,660,H3455,3.25,309.1304347826087
S1,D6,6,8,680,H2855,4.9,266.0869565217391
S1,D6,7,4,760,H3167,5.8,242.6086956521739
S1,D6,7,6,780,H2525,5.05,262.17391304347825
S1,D6,7,8,800,H3155,5.8,242.6086956521739
S1,D6,8,4,880,H3221,5.8,242.6086956521739
S1,D6,8,6,900,H2963,3.7,297.39130434782606
S1,D6,8,8,920,H3467,5.35,254.3478260869565
S1,D6,9,4,1000,H3437,5.05,262.17391304347825
S1,D6,9,6,1020,H2621,5.5,250.43478260869563
S1,D6,9,8,1040,H3035,5.05,262.17391304347825
S1,D6,9,10,1060,H2837,5.05,262.17391304347825
S1,D6,10,6,1140,H2753,4.9,266.0869565217391
S1,D6,10,8,1160,H3137,3.7,297.39130434782606
S1,D6,10,10,1180,H3227,5.05,262.17391304347825
S1,D7,1,1,10,H3119,5.8,242.6086956521739
S1,D7,1,2,20,H3029,5.5,250.43478260869563
S1,D7,1,3,30,H3029,5.5,250.43478260869563
S1,D7,1,4,40,H2735,5.05,262.17391304347825
S1,D7,1,5,50,H2555,4.9,266.0869565217391
S1,D7,2,1,130,H2417,5.05,262.17391304347825
S1,D7,2,3,150,H2813,6.25,230.86956521739128
S1,D7,2,4,160,H2933,6.55,223.04347826086956
S1,D7,2,5,170,H2735,5.05,262.17391304347825
S1,D7,2,6,180,H2957,5.8,242.6086956521739
S1,D7,2,7,190,H3131,7.45,199.56521739130432
S1,D7,2,8,200,H2759,5.35,254.3478260869565
S1,D7,2,9,210,H2945,5.8,242.6086956521739
S1,D7,2,11,230,H2759,5.35,254.3478260869565
S1,D7,3,1,250,H2735,5.05,262.17391304347825
S1,D7,3,2,260,H2321,5.05,262.17391304347825
S1,D7,3,4,280,H2849,5.8,242.6086956521739
S1,D7,3,5,290,H2417,5.05,262.17391304347825
S1,D7,3,6,300,H3035,5.05,262.17391304347825
S1,D7,3,8,320,H3353,5.05,262.17391304347825
S1,D7,3,9,330,H2939,4.6,273.9130434782609
S1,D7,3,10,340,H3245,4.6,273.9130434782609
S1,D7,5,2,500,H3467,5.35,254.3478260869565
S1,D7,5,4,520,H3263,5.35,254.3478260869565
S1,D7,5,6,540,H2747,4.6,273.9130434782609
S1,D7,5,8,560,H2543,4.3,281.7391304347826
S1,D7,5,10,580,H2423,4.15,285.6521739130435
S1,D7,6,7,670,H2207,5.5,250.43478260869563
S1,D7,6,9,690,H3017,5.5,250.43478260869563
S1,D7,7,8,800,H2645,3.85,293.47826086956525
S1,D7,8,4,880,H2549,4.3,281.7391304347826
S1,D7,8,8,920,H2831,5.05,262.17391304347825
S1,D7,8,10,940,H2093,3.4,305.2173913043478
S1,D7,9,4,1000,H3125,2.65,324.78260869565213
S1,D8,1,1,10,H2639,5.8,242.6086956521739
S1,D8,1,2,20,H2315,5.5,250.43478260869563
S1,D8,1,3,30,H2207,5.5,250.43478260869563
S1,D8,1,4,40,H3329,5.05,262.17391304347825
S1,D8,2,1,130,H2321,5.05,262.17391304347825
S1,D8,2,2,140,H2759,5.35,254.3478260869565
S1,D8,2,3,150,H2411,5.95,238.69565217391303
S1,D8,2,4,160,H2627,6.55,223.04347826086956
S1,D8,2,5,170,H2609,5.05,262.17391304347825
S1,D8,2,6,180,H3035,5.05,262.17391304347825
S1,D8,2,7,190,H3161,5.8,242.6086956521739
S1,D8,2,8,200,H3425,5.05,262.17391304347825
S1,D8,2,9,210,H3155,5.8,242.6086956521739
S1,D8,2,11,230,H2321,5.05,262.17391304347825
S1,D8,3,1,250,H2525,5.05,262.17391304347825
S1,D8,3,3,270,H2711,6.25,230.86956521739128
S1,D8,3,5,290,H2213,5.05,262.17391304347825
S1,D8,3,8,320,H3347,5.05,262.17391304347825
