zone,dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
S1,D8,12,0,1320,S1,S1
S1,D8,12,2,1340,H3221,S1
S1,D8,12,4,1360,H3125,S1
S1,D9,1,0,0,S1,H3149
S1,D9,1,11,110,H2633,S1
S1,D9,2,0,120,S1,H2213
S1,D9,2,10,220,H2825,H2831
S1,D9,3,0,240,S1,H2435
S1,D9,3,2,260,H3119,H2651
S1,D9,3,11,350,H3221,S1
S1,D9,4,0,360,S1,S1
S1,D9,4,2,380,H3467,S1
S1,D9,4,4,400,H3251,S1
S1,D9,4,10,460,H3353,S1
S1,D9,5,0,480,S1,S1
S1,D9,5,3,510,H2741,S1
S1,D9,5,5,530,H2645,S1
S1,D9,5,10,580,H2537,S1
S1,D9,6,0,600,S1,S1
S1,D9,6,2,620,H2087,S1
S1,D9,6,4,640,H2201,S1
S1,D9,6,6,660,H2303,S1
S1,D9,6,9,690,S1,S1
S1,D9,6,11,710,H2537,S1
S1,D9,7,0,720,S1,S1
S1,D9,7,2,740,H2759,S1
S1,D9,7,4,760,H2849,S1
S1,D9,7,6,780,H2753,H2651
S1,D9,7,7,790,H2651,S1
S1,D9,7,9,810,H2645,H2651
S1,D9,7,10,820,H2651,S1
S1,D9,8,0,840,S1,S1
S1,D9,8,2,860,H2735,S1
S1,D9,8,5,890,H2741,H2627
S1,D9,8,6,900,H2627,S1
S1,D9,8,8,920,H2621,S1
S1,D9,8,10,940,H2513,S1
S1,D9,9,0,960,S1,S1
S1,D9,9,2,980,H3047,S1
S1,D9,9,6,1020,H3149,S1
S1,D9,9,10,1060,H3155,S1
S1,D9,10,0,1080,S1,S1
S1,D9,10,3,1110,H2843,S1
S1,D9,10,10,1180,H2741,S1
S1,D9,11,0,1200,S1,S1
S1,D9,11,2,1220,H2939,S1
S1,D9,11,4,1240,H3029,S1
S1,D9,11,6,1260,H3023,H2921
S1,D9,11,10,1300,H2921,S1
S1,D9,12,0,1320,S1,S1
S1,D9,12,2,1340,H3047,S1
S1,D9,12,4,1360,H3053,S1
S1,D9,12,6,1380,H3155,S1
S1,D10,1,0,0,S1,H3155
S1,D10,1,11,110,H2537,S1
S1,D10,2,0,120,S1,H2333
S1,D10,2,10,220,H2537,H3329
S1,D10,3,0,240,S1,H2555
S1,D10,3,3,270,H3053,H3359
S1,D10,3,6,300,H3059,H3263
S1,D10,3,11,350,H3263,S1
S1,D10,4,0,360,S1,S1
S1,D10,4,2,380,H2849,S1
S1,D10,4,4,400,H2843,H2753
S1,D10,4,5,410,H2753,H2651
S1,D10,4,6,420,H2651,S1
S1,D10,4,10,460,H2441,S1
S1,D10,5,0,480,S1,S1
S1,D10,5,3,510,H2753,S1
S1,D10,5,5,530,H2855,S1
S1,D10,5,7,550,H2963,S1
S1,D10,5,10,580,H3167,S1
S1,D10,6,0,600,S1,S1
S1,D10,6,3,630,H3221,H2549
S1,D10,6,5,650,H3119,S1
S1,D10,6,7,670,H3125,S1
S1,D10,6,10,700,H3131,S1
S1,D10,7,0,720,S1,S1
S1,D10,7,2,740,H2729,S1
S1,D10,7,9,810,H2723,H2213
S1,D10,8,0,840,S1,S1
S1,D10,8,2,860,H2837,S1
S1,D10,8,5,890,H2945,H3323
S1,D10,8,10,940,H2831,S1
S1,D10,9,0,960,S1,S1
S1,D10,9,2,980,H2549,S1
S1,D10,9,4,1000,H2747,S1
S1,D10,9,6,1020,H2639,S1
S1,D10,9,8,1040,H2633,S1
S1,D10,9,10,1060,H2729,S1
S1,D10,10,0,1080,S1,S1
S1,D10,10,2,1100,H2609,H2513
S1,D10,10,3,1110,H2513,S1
S1,D10,10,5,1130,H2309,S1
S1,D10,10,7,1150,S1,S1
S1,D10,10,9,1170,H2819,S1
S1,D10,10,11,1190,H2927,S1
S1,D10,11,0,1200,S1,S1
S1,D10,11,3,1230,H2837,S1
S1,D10,11,9,1290,H2831,S1
S1,D10,12,0,1320,S1,S1
S1,D10,12,2,1340,H3335,S1
S1,D10,12,4,1360,H3437,S1
S1,D10,12,6,1380,H3233,S1
S2,D1,1,0,0,S2,H2153
S2,D1,1,11,110,H2003,S2
S2,D1,2,0,120,S2,H1931
S2,D1,2,11,230,H1925,S2
S2,D1,3,0,240,S2,H2123
S2,D1,3,2,260,H2021,H1997
S2,D1,3,4,280,H1919,H1829
S2,D1,3,10,340,H1913,S2
S2,D1,5,1,490,S2,H1811
S2,D1,5,2,500,H1811,H1919
S2,D1,5,3,510,H1919,H1925
S2,D1,5,4,520,H1925,H1823
S2,D1,5,5,530,H1823,H1829
S2,D1,5,6,540,H1829,H1835
S2,D1,5,7,550,H1835,H1841
S2,D1,5,8,560,H1841,H1847
S2,D1,5,9,570,H1847,H1853
S2,D1,5,10,580,H1853,H1859
S2,D1,5,11,590,H1859,H2003
S2,D1,11,0,1200,S2,S2
S2,D1,11,2,1220,H1889,S2
S2,D1,11,6,1260,H2003,S2
S2,D1,11,11,1310,H1997,S2
S2,D1,12,0,1320,S2,S2
S2,D1,12,2,1340,H2447,S2
S2,D1,12,4,1360,H2351,S2
S2,D1,12,6,1380,H2345,S2
S2,D1,12,8,1400,H2243,S2
S2,D2,1,0,0,S2,H1631
S2,D2,1,11,110,H1943,S2
S2,D2,2,0,120,S2,H1955
S2,D2,2,10,220,H1697,H2363
S2,D2,3,0,240,S2,H1559
S2,D2,3,2,260,H1673,S2
S2,D2,3,9,330,H1889,H1787
S2,D2,3,10,340,H1787,S2
S2,D2,11,0,1200,S2,S2
S2,D2,11,2,1220,H1529,S2
S2,D2,11,4,1240,H1637,S2
S2,D2,11,6,1260,H1541,S2
S2,D2,11,8,1280,H1739,S2
S2,D2,11,11,1310,H1631,S2
S2,D2,12,0,1320,S2,S2
S2,D2,12,2,1340,H1589,S2
S2,D2,12,4,1360,H1661,S2
S2,D2,12,6,1380,H1577,S2
